source_Id,mapping_provenance,wikidata_uri,source_prefLabel,source_definition,source_isocat_id,source_is_used_concept,source_is_facet_VLO_xml,source_changeNote,source_instance_of,source_notation
http://hdl.handle.net/11459/CCR_C-1346_df16a4aa-5586-3cd9-b0e8-e4ad8a8327c5,isocatId-matches,http://www.wikidata.org/entity/Q1194697,passive voice,Term referring to a situation where the grammatical subject is typically the recipient or goal of the action denoted by the verb. (source: Crystal 2003),1346,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1346,0,passiveVoice
http://hdl.handle.net/11459/CCR_C-1347_b5581b6b-deee-dc41-9636-64817d88d15a,manually-validated,http://www.wikidata.org/entity/Q192630,past,Past tense is an absolute tense that refers to a time before the moment of utterance. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsPastTense.htm),1347,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1347,0,pastTenseAbsolute
http://hdl.handle.net/11459/CCR_C-1352_2664f3ef-8d98-764f-9ec5-d582ed04d312,isocatId-matches,http://www.wikidata.org/entity/Q1424306,perfective,"Perfective aspect is an aspect that expresses a temporal view of an event or state as a simple whole, apart from the consideration of the internal structure of the time in which it occurs. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsPerfectiveAspect.htm)",1352,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1352,0,perfective
http://hdl.handle.net/11459/CCR_C-1354_f25bdcae-3309-a08a-330d-97f5b4753927,isocatId-matches,http://www.wikidata.org/entity/Q146786,plural,Value that expresses more than one element. (source: GP),1354,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1354,0,pluralMoreElements
http://hdl.handle.net/11459/CCR_C-1357_476c7b39-9f50-bf54-0412-59f34d87a144,isocatId-matches,http://www.wikidata.org/entity/Q5051,possessive determiner,Determiner that expresses ownership. (source: MAF),1357,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1357,0,possessiveDeterminer
http://hdl.handle.net/11459/CCR_C-1359_41a180fd-f9a4-25e3-25c1-69c1225c31c8,isocatId-matches,http://www.wikidata.org/entity/Q1502460,possessive pronoun,"Pronoun that expresses ownership and relationships like ownership, such as kinship, and other forms of association. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsAPossessivePronoun.htm)",1359,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1359,0,possessivePronoun
http://hdl.handle.net/11459/CCR_C-1360_dc07e05a-b7bf-7e3e-360b-3d1e2a5c1c7f,isocatId-matches,http://www.wikidata.org/entity/Q161873,postposition,Adposition that appears at the end of the noun phrase. (source: Gil Francopoulo),1360,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1360,0,postposition
http://hdl.handle.net/11459/CCR_C-1366_0f19c480-07d0-a3e5-41ad-2a3992f7cf6a,isocatId-matches,http://www.wikidata.org/entity/Q4833830,preposition,Adposition placed at the beginning of a noun phrase. (source: MAF),1366,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1366,0,propositionBeginPosition
http://hdl.handle.net/11459/CCR_C-1370_e2de8052-9016-a6a0-781d-bd4a2b79cfaf,isocatId-matches,http://www.wikidata.org/entity/Q36224,pronoun,Word used in place of a noun or a noun phrase. (source: MAF),1370,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1370,0,pronounInsteadOfN
http://hdl.handle.net/11459/CCR_C-1371_fbebd9ec-a7f4-9a36-d6e9-88ee16b944ae,isocatId-matches,http://www.wikidata.org/entity/Q147276,proper noun,"Noun that is the name of a specific individual, place, or object. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsAProperNoun.htm)",1371,y,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1371,0,properNoun
http://hdl.handle.net/11459/CCR_C-1380_e55f8cdf-1792-eb7a-6792-4e6c9b3c176a,isocatId-matches,http://www.wikidata.org/entity/Q1050744,relative pronoun,Pronoun which introduces a relative clause and refers to something that has been said before. (source: www.southwestern.edu/~carlg/Latin_Web/glossary.html + Canoonet),1380,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1380,0,relativePronoun
http://hdl.handle.net/11459/CCR_C-1384_a6aa56c1-3f5d-901f-cbbb-ecc8fdce9d69,isocatId-matches,http://www.wikidata.org/entity/Q51929049,second person,Second person deixis is deictic reference to a person or persons identified as addressee. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsSecondPersonDeixis.htm),1384,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1384,0,secondPersonDeixis
http://hdl.handle.net/11459/CCR_C-1386_676aa48a-8457-4fac-f34c-ce3518952b53,isocatId-matches,http://www.wikidata.org/entity/Q37124094,sentence,"A sentence is a grammatical unit that is composed of one or more clauses. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsASentence.htm) |A sequence of words capable of standing alone to make an assertion, ask a question, or give a command, usually consisting of a subject and a predicate containing a finite verb. (source: www.wordreference.com/English/definition.asp?en=sentence)",1386,y,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1386,0,sentence
http://hdl.handle.net/11459/CCR_C-1387_2f8f602b-dd99-d51f-2ffe-754515e36d7e,isocatId-matches,http://www.wikidata.org/entity/Q110786,singular,Value that expresses one element. (source: GP),1387,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1387,0,singularOneElement
http://hdl.handle.net/11459/CCR_C-1393_9905e94f-5624-ed01-139f-fc3ffac7a923,isocatId-matches,http://www.wikidata.org/entity/Q11655558,subordinating conjunction,Conjunction that links constructions by making one of them a constituent of another. The subordinating conjunction typically marks the incorporated constituent. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsASubordinatingConjunctio.htm),1393,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1393,0,subordinatingConjunction
http://hdl.handle.net/11459/CCR_C-1400_cbba48ca-cc45-638e-35aa-40d9be4b37f2,isocatId-matches,http://www.wikidata.org/entity/Q1340504,main verb,Main verb in contrast to a modal or an auxiliary. (source: MAF),1400,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1400,0,mainVerb
http://hdl.handle.net/11459/CCR_C-1402_fd8749a9-cd4a-530e-760e-17944acfd054,isocatId-matches,http://www.wikidata.org/entity/Q51929074,third person,Third person deixis is deictic reference to a referent(s) not identified as the speaker or addressee. (source: www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsThirdPersonDeixis.htm),1402,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1402,0,thirdPersonDeixis
http://hdl.handle.net/11459/CCR_C-1405_cebacec3-e397-6cdf-77ee-42aef4f06a21,isocatId-matches,http://www.wikidata.org/entity/Q116946936,transitive,"A verb which takes a direct object; that is, a verb that expresses an action which directly affects another person or thing. (source: www.southwestern.edu/~carlg/Latin_Web/glossary.html)",1405,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1405,0,transitive
http://hdl.handle.net/11459/CCR_C-1413_09afea63-a8fe-26ee-0b3c-7405763baba4,isocatId-matches,http://www.wikidata.org/entity/Q211101,voice,"Way sentences may alter the relationship between the subject and object of a verb, without changing the meaning of the sentence. (source: Crystal 2003)",1413,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1413,0,voice
http://hdl.handle.net/11459/CCR_C-1419_b7bac8b0-b195-b01b-c8a8-2ce44103c607,isocatId-matches,http://www.wikidata.org/entity/Q123964806,degree,Property concerning comparison. (source: MAF),1419,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1419,0,degreeComp
http://hdl.handle.net/11459/CCR_C-142_4086aac2-674a-839a-f5bc-788c32182669,manually-validated,https://www.wikidata.org/wiki/Q2268906,concept relation,A semantic link between concepts. (source: ISO12620),142,y,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-142,0,conceptRelation
http://hdl.handle.net/11459/CCR_C-1420_745016c4-84c2-766a-a861-b4cdb6dcba73,isocatId-matches,http://www.wikidata.org/entity/Q3482678,positive,Value used in a comparison relationship when no comparison is involved. (source: MAF),1420,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1420,0,positive
http://hdl.handle.net/11459/CCR_C-1421_ea34af08-3d35-5df6-7584-4c21aff9ec96,isocatId-matches,http://www.wikidata.org/entity/Q14169499,comparative,Comparative is the comparison where only two entites are involved. (source: MAF),1421,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1421,0,comparativeMAF
http://hdl.handle.net/11459/CCR_C-1422_eb7884c1-3a0c-55c1-5aa6-dde4b66e5da5,isocatId-matches,http://www.wikidata.org/entity/Q1817208,superlative,Value used in a comparison between more than two entities. (source: MAF),1422,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1422,0,superlativeMoreThanTwo
http://hdl.handle.net/11459/CCR_C-1424_dc8402e6-a042-2d8a-4740-0d6cfe5ede02,isocatId-matches,http://www.wikidata.org/entity/Q24905,verb,"Element which, singly or in combination with other verbs is used as the minimal predicate of a sentence, co-occurring with a subject. (source: Crystal 2003)",1424,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1424,0,verbMinimalPredicate
http://hdl.handle.net/11459/CCR_C-1441_6b16a248-b8f6-f0c5-6cdd-2edd15243131,isocatId-matches,http://www.wikidata.org/entity/Q166764,exclamative point,Special sign (!) usually used in writing to mark exclamation. (source: MAF),1441,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1441,0,exclamativePoint
http://hdl.handle.net/11459/CCR_C-1463_f07c7667-e90f-c10a-7239-1ecb8d804956,isocatId-matches,http://www.wikidata.org/entity/Q468801,personal pronoun,Pronoun referring a person. (source: MAF),1463,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1463,0,personalPronoun
http://hdl.handle.net/11459/CCR_C-1506_f672c5f9-c2d2-fe64-1f82-7945df1a10cd,manually-validated,http://www.wikidata.org/entity/Q5253026,syntacticCategory,"A syntactic category is a set of words and/or phrases in a language which share a significant number of common characteristics. The classification is based on similar structure and sameness of distribution (the structural relationships between these elements and other items in a larger grammatical structure), and not on meaning. (source: http://www.sil.org/linguistics/GlossaryOfLinguisticTerms/WhatIsASyntacticCategory.htm)",1506,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1506,0,SyntacticRelation
http://hdl.handle.net/11459/CCR_C-1511_de660422-a1d2-bc63-f426-076234337234,isocatId-matches,http://www.wikidata.org/entity/Q504952,collectiveNoun,a noun that refers to a group of entities that may be considered either as individuals or as one larger entity. (source: -http://www.chompchomp.com/terms/collectivenoun.htm.),1511,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1511,0,collectiveNoun
http://hdl.handle.net/11459/CCR_C-1558_015e4ddd-aff5-d9ec-ec64-e6be2c029456,isocatId-matches,http://www.wikidata.org/entity/Q1305037,common gender,gender used to describe morphological forms that could be either masculine or feminine (source: agreement on the morphosyntax list with members of TDG-2 + TDG-9 in April 2013),1558,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1558,0,commonGender
http://hdl.handle.net/11459/CCR_C-1607_c4b203bf-d36b-ed36-44ab-56166c8b9881,manually-validated,https://www.wikidata.org/wiki/Q7397,tool,"describes the tool that has been used to execute a given task in the document (creation, modification, etc)",1607,y,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1607,0,toolUsed
http://hdl.handle.net/11459/CCR_C-1655_0722250d-dcbf-44f6-ad8c-b178a9bff79e,manually-validated,http://www.wikidata.org/entity/Q281782,default,signals that a default element processing modes are acceptable for this element Used only in refinement of one data categories (/space/ for example,1655,y,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1655,0,default
http://hdl.handle.net/11459/CCR_C-1662_d42aab6d-c84e-3756-09dd-9bb48eae04ed,isocatId-matches,http://www.wikidata.org/entity/Q190087,datatype,The type of the content of the element.,1662,y,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1662,0,datatype
http://hdl.handle.net/11459/CCR_C-170_3bf76663-86b5-a222-1b5a-ad631e164b8b,isocatId-matches,http://www.wikidata.org/entity/Q1026899,intensional definition,A definition which describes the intension of a concept by stating the superordinate concept and the delimiting characteristics. (source: ISO12620),170,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-170,0,intensionalDefinition
http://hdl.handle.net/11459/CCR_C-171_faf6b94e-d56e-5f26-1c50-3681119ded9f,isocatId-matches,http://www.wikidata.org/entity/Q5421961,extensional definition,A description of a concept by enumerating all of its subordinate concepts under one criterion of subdivison. (source: ISO12620),171,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-171,0,extensionalDefinition
http://hdl.handle.net/11459/CCR_C-1837_b37f58c2-2d7e-38e2-a8cd-09460ba75f61,isocatId-matches,http://www.wikidata.org/entity/Q7187218,phonetic form,Representation of the spoken string of a form (source: MAF),1837,n,null,This concept is based on the ISOcat data category: http://www.isocat.org/datcat/DC-1837,0,phoneticForm
