oldUri,newUri
http://hdl.handle.net/11459/CCR_C-1846_f7e57b9b-1775-81d2-fea9-8189d594d716,http://www.wikidata.org/entity/Q1141067
http://hdl.handle.net/11459/CCR_C-1857_54e14b00-c4a4-d48f-98d9-7eb2ab5b44d4,http://www.wikidata.org/entity/Q722218
http://hdl.handle.net/11459/CCR_C-1884_d6ad9a01-8406-9b2b-a9c7-2f50a71ce554,http://www.wikidata.org/entity/Q1775461
http://hdl.handle.net/11459/CCR_C-1886_bfb27596-3645-ec8f-5d68-541b311ec27c,http://www.wikidata.org/entity/Q2530613
http://hdl.handle.net/11459/CCR_C-1892_36013416-c0ef-a1d1-39ce-7063766746cc,http://www.wikidata.org/entity/Q103184
http://hdl.handle.net/11459/CCR_C-1896_7f5c0f64-cb21-da02-706c-27e4e6e1916d,http://www.wikidata.org/entity/Q10535365
http://hdl.handle.net/11459/CCR_C-1902_370d010c-47e2-1fe2-b652-ef1b04d30465,http://www.wikidata.org/entity/Q1250335
http://hdl.handle.net/11459/CCR_C-1906_e87b603b-1b90-81b7-d99b-171595ae4d6e,http://www.wikidata.org/entity/Q358417
http://hdl.handle.net/11459/CCR_C-1920_c55e0681-56a8-4a3a-6777-fc4cbe574d80,http://www.wikidata.org/entity/Q361669
http://hdl.handle.net/11459/CCR_C-1922_8638f78c-b990-b54c-446d-a20f4694c6e3,http://www.wikidata.org/entity/Q118521336
http://hdl.handle.net/11459/CCR_C-1924_e87a57bd-25f7-d3f8-395c-5885a403c178,http://www.wikidata.org/entity/Q1462657
http://hdl.handle.net/11459/CCR_C-1926_54336616-beda-d9e9-c1e8-28f8233e8f7f,http://www.wikidata.org/entity/Q1182686
http://hdl.handle.net/11459/CCR_C-1988_86f09f83-12d7-c634-496e-74078244271c,http://www.wikidata.org/entity/Q286576
http://hdl.handle.net/11459/CCR_C-2004_7dc427d7-61a6-853e-12ea-c7f766afc5b6,http://www.wikidata.org/entity/Q53997851
http://hdl.handle.net/11459/CCR_C-2092_36cd7ca8-e412-9f29-7ea7-4a3ba4ba2c91,http://www.wikidata.org/entity/Q906278
http://hdl.handle.net/11459/CCR_C-221_61a6af93-38ca-b93b-0344-d9351fef71eb,http://www.wikidata.org/entity/Q131684213
http://hdl.handle.net/11459/CCR_C-2243_1719dee8-96b4-94a3-3f94-cd58c200d2ae,http://www.wikidata.org/entity/Q731298
http://hdl.handle.net/11459/CCR_C-2255_88b411af-49bf-1cdb-7aad-224eb27ef06f,http://www.wikidata.org/entity/Q1778442
http://hdl.handle.net/11459/CCR_C-2256_f31b9b2c-03a2-2251-10d4-7d98ddc042b0,http://www.wikidata.org/entity/Q1401131
http://hdl.handle.net/11459/CCR_C-2257_31aa67ea-50e7-13d4-68f8-9c90840d5f47,http://www.wikidata.org/entity/Q56042915
http://hdl.handle.net/11459/CCR_C-2258_121366f1-07d0-2c34-373d-342e4d637446,http://www.wikidata.org/entity/Q357760
http://hdl.handle.net/11459/CCR_C-2276_30f9159b-8c1b-92ce-f6e0-f4eb294356af,http://www.wikidata.org/entity/Q1520033
http://hdl.handle.net/11459/CCR_C-2277_2fe036a2-06e6-d3b6-e714-51d08c67fe21,http://www.wikidata.org/entity/Q489168
http://hdl.handle.net/11459/CCR_C-2318_bfda5ab9-a429-c2e5-8f08-7c8dfca8245a,http://www.wikidata.org/entity/Q857525
http://hdl.handle.net/11459/CCR_C-2328_9bdde78f-fb6b-c699-8254-79d10a199069,http://www.wikidata.org/entity/Q65707353
http://hdl.handle.net/11459/CCR_C-233_9691d21c-51f7-9580-37a1-f58a808303dd,http://www.wikidata.org/entity/Q762856
http://hdl.handle.net/11459/CCR_C-2455_56998f5b-47bc-3d58-3bf6-13d18d2b0045,http://www.wikidata.org/entity/Q125183827
http://hdl.handle.net/11459/CCR_C-2457_45bbaa1a-7002-2ecd-ab9d-57a189f694a6,http://www.wikidata.org/entity/Q79719
http://hdl.handle.net/11459/CCR_C-2458_6d94aa4b-09f5-bd3e-0c00-23a457840463,http://www.wikidata.org/entity/Q340169
http://hdl.handle.net/11459/CCR_C-2459_fc4e74d6-84de-c8cd-1ae8-2c2be5ee90b1,http://www.wikidata.org/entity/Q43229
http://hdl.handle.net/11459/CCR_C-2464_be58b081-dad1-85f8-d20d-0445078f4ac0,http://www.wikidata.org/entity/Q733553
http://hdl.handle.net/11459/CCR_C-2466_b251ac7a-98db-471c-1435-6db8dc0b692e,http://www.wikidata.org/entity/Q33384
http://hdl.handle.net/11459/CCR_C-2467_f4e7331f-b930-fc42-eeea-05e383cfaa78,http://www.wikidata.org/entity/Q5289798
http://hdl.handle.net/11459/CCR_C-2468_e4135e12-c272-171e-a8a2-48339228387b,http://www.wikidata.org/entity/Q124156879
http://hdl.handle.net/11459/CCR_C-2469_2160b7a0-80f7-2d68-5f3e-997e052a1602,http://www.wikidata.org/entity/Q5416730
http://hdl.handle.net/11459/CCR_C-2470_d191f2b2-6339-f031-b534-70d526b28357,http://www.wikidata.org/entity/Q483394
http://hdl.handle.net/11459/CCR_C-2476_d4606c12-013a-0155-14e2-daa5a4400ef2,http://www.wikidata.org/entity/Q839721
